VDS,VGS,VBS,IDS,IB,IGS
0.0,0.2,0,-1.748344e-08,1.586583e-08,1.333828e-10
0.1,0.2,0,-1.00813e-08,1.028346e-08,1.295861e-10
0.2,0.2,0,-3.301574e-09,1.048861e-08,-1.342928e-11
0.3,0.2,0,1.14222e-09,1.192178e-08,3.466445e-11
0.4,0.2,0,1.892488e-09,2.292815e-09,6.82034e-11
0.5,0.2,0,2.276603e-09,1.918729e-09,6.187527e-11
0.6,0.2,0,2.275146e-09,4.727325e-09,3.846125e-11
0.7,0.2,0,2.397251e-09,4.578948e-09,3.466435e-11
0.8,0.2,0,2.325265e-09,4.13752e-09,5.99769e-11
0.9,0.2,0,2.511849e-09,5.459182e-09,5.175035e-11
1.0,0.2,0,2.317756e-09,4.236099e-09,4.5422e-11
1.1,0.2,0,2.441745e-09,1.997592e-09,3.656284e-11
1.2,0.2,0,2.711237e-09,4.656464e-09,-5.962451e-11
0.0,0.4,0,-1.459579e-08,4.909121e-09,5.301584e-11
0.1,0.4,0,1.960037e-07,9.454437e-09,3.656279e-11
0.2,0.4,0,2.168893e-07,8.788001e-09,3.529711e-11
0.3,0.4,0,2.222835e-07,8.658253e-09,3.972686e-11
0.4,0.4,0,2.228291e-07,9.722325e-09,1.232577e-10
0.5,0.4,0,2.294344e-07,6.163184e-09,6.50392e-11
0.6,0.4,0,2.248912e-07,6.211962e-09,1.511016e-10
0.7,0.4,0,2.254202e-07,8.170225e-09,3.339867e-11
0.8,0.4,0,2.261842e-07,6.618058e-09,3.403153e-11
0.9,0.4,0,2.285754e-07,6.015701e-09,5.111746e-11
1.0,0.4,0,2.276686e-07,5.629001e-09,1.314843e-10
1.1,0.4,0,2.281214e-07,4.67426e-09,4.921898e-11
1.2,0.4,0,2.285844e-07,5.465389e-09,1.346484e-10
0.0,0.6,0,-1.879427e-08,1.328594e-08,2.264085e-11
0.1,0.6,0,2.585035e-06,1.01649e-08,1.498355e-10
0.2,0.6,0,3.262572e-06,9.246523e-09,5.396472e-10
0.3,0.6,0,3.373739e-06,1.129458e-08,-1.286009e-10
0.4,0.6,0,3.416732e-06,2.536256e-09,-2.292153e-11
0.5,0.6,0,3.444045e-06,3.567747e-09,1.030079e-10
0.6,0.6,0,3.441202e-06,3.910724e-09,3.080384e-10
0.7,0.6,0,3.448613e-06,7.145772e-09,-1.716324e-10
0.8,0.6,0,3.458581e-06,2.21741e-09,4.16252e-11
0.9,0.6,0,3.46656e-06,4.080161e-09,4.732044e-11
1.0,0.6,0,3.501954e-06,6.14219e-09,6.69375e-11
1.1,0.6,0,3.49953e-06,7.437029e-09,6.567191e-11
1.2,0.6,0,3.52396e-06,4.582658e-09,-3.557771e-11
0.0,0.2,0.1,-2.45521e-08,2.130902e-08,1.694563e-11
0.1,0.2,0.1,-2.683911e-09,1.027027e-08,4.478939e-11
0.2,0.2,0.1,2.111257e-09,2.192495e-08,4.925921e-13
0.3,0.2,0.1,1.611915e-09,1.004167e-08,4.289091e-11
0.4,0.2,0.1,2.637358e-09,1.10918e-08,9.035182e-11
0.5,0.2,0.1,3.547847e-09,1.185214e-08,-1.089799e-11
0.6,0.2,0.1,4.588338e-09,1.003765e-08,9.351936e-12
0.7,0.2,0.1,4.833303e-09,7.933056e-09,4.542214e-11
0.8,0.2,0.1,5.290167e-09,1.253265e-08,4.162522e-11
0.9,0.2,0.1,5.365893e-09,8.028942e-09,6.314091e-11
1.0,0.2,0.1,5.093692e-09,3.343381e-09,1.352813e-10
1.1,0.2,0.1,5.319383e-09,8.754521e-09,5.428133e-11
1.2,0.2,0.1,5.14969e-09,7.900216e-09,6.883624e-11
0.0,0.4,0.1,-2.965175e-08,3.051302e-08,1.125001e-10
0.1,0.4,0.1,3.381404e-07,6.269703e-09,1.479374e-10
0.2,0.4,0.1,3.68637e-07,1.31482e-08,5.111735e-11
0.3,0.4,0.1,3.743563e-07,4.592454e-09,8.149235e-11
0.4,0.4,0.1,3.907986e-07,9.052497e-09,5.871116e-11
0.5,0.4,0.1,3.854262e-07,1.271386e-08,6.693764e-11
0.6,0.4,0.1,3.876401e-07,3.395041e-09,-6.785106e-11
0.7,0.4,0.1,3.96983e-07,8.062043e-09,1.232579e-10
0.8,0.4,0.1,3.906952e-07,1.387543e-08,1.023751e-10
0.9,0.4,0.1,3.890384e-07,9.426008e-09,-5.456204e-11
1.0,0.4,0.1,3.916676e-07,9.87794e-09,6.757044e-11
1.1,0.4,0.1,3.965291e-07,1.498246e-08,1.536329e-10
1.2,0.4,0.1,3.929473e-07,6.078811e-09,4.035955e-11
0.0,0.6,0.1,-3.385789e-08,2.125103e-08,4.352359e-11
0.1,0.6,0.1,3.184228e-06,1.690712e-08,-5.709336e-11
0.2,0.6,0.1,4.205375e-06,1.671002e-08,-5.519485e-11
0.3,0.6,0.1,4.391044e-06,1.979463e-08,1.517342e-10
0.4,0.6,0.1,4.454983e-06,3.75767e-09,1.719841e-10
0.5,0.6,0.1,4.456787e-06,7.908478e-09,-5.962457e-11
0.6,0.6,0.1,4.479611e-06,1.01032e-08,-5.1398e-11
0.7,0.6,0.1,4.487066e-06,1.356664e-08,-1.342962e-10
0.8,0.6,0.1,4.504966e-06,2.352539e-09,-1.963122e-10
0.9,0.6,0.1,4.520817e-06,2.940556e-09,3.017105e-10
1.0,0.6,0.1,4.528585e-06,8.796711e-09,5.617981e-11
1.1,0.6,0.1,4.533211e-06,8.449251e-09,-4.569956e-12
1.2,0.6,0.1,4.548272e-06,9.93267e-09,-7.038231e-11
